Employee_ID,Age,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality
EMP0001,32,Healthcare,13,Hybrid,47,7,2,Medium,1,Weekly,Good
EMP0002,40,IT,3,Remote,52,4,1,Medium,2,Weekly,Good
EMP0003,59,Education,22,Hybrid,46,11,5,Medium,5,None,Poor
EMP0004,27,Finance,20,Onsite,32,8,4,High,3,None,Poor
EMP0005,49,Consulting,32,Onsite,35,12,2,High,3,Weekly,Average
EMP0006,59,IT,31,Hybrid,39,3,4,High,1,None,Average
EMP0007,31,IT,24,Remote,51,7,3,Low,3,Daily,Poor
EMP0008,42,Manufacturing,6,Onsite,54,7,3,Medium,4,None,Average
EMP0009,56,Healthcare,9,Hybrid,24,4,2,High,4,Daily,Poor
EMP0010,30,IT,28,Hybrid,57,6,1,Low,1,Weekly,Poor
EMP0011,33,Finance,17,Remote,48,3,3,High,2,Weekly,Average
EMP0012,47,Consulting,31,Hybrid,26,12,4,Medium,3,Weekly,Poor
EMP0013,40,Consulting,1,Remote,21,7,2,High,1,Weekly,Good
EMP0014,51,Manufacturing,5,Hybrid,45,13,1,Low,5,Weekly,Poor
EMP0015,36,Retail,23,Remote,59,11,3,High,3,Weekly,Average
EMP0016,56,Healthcare,13,Remote,44,11,4,Low,4,Weekly,Average
EMP0017,33,Education,3,Onsite,52,9,2,Medium,1,Weekly,Good
EMP0018,45,Consulting,20,Onsite,37,8,3,Low,5,Weekly,Good
EMP0019,49,IT,30,Remote,36,6,1,High,2,Weekly,Good
EMP0020,59,Consulting,13,Remote,59,4,3,Medium,1,Daily,Average
EMP0021,26,Retail,33,Hybrid,21,1,2,Low,1,Weekly,Poor
EMP0022,26,Education,21,Onsite,54,12,3,Medium,4,Daily,Poor
EMP0023,43,Finance,21,Onsite,57,1,3,Low,4,Daily,Average
EMP0024,53,Consulting,11,Onsite,22,12,5,Low,3,Weekly,Poor
EMP0025,56,Finance,6,Remote,54,15,3,Low,4,Daily,Average
EMP0026,49,Healthcare,23,Onsite,21,14,4,High,3,None,Good
EMP0027,36,Retail,30,Onsite,24,12,3,High,4,None,Poor
EMP0028,53,Retail,31,Onsite,56,4,4,Low,4,None,Poor
EMP0029,47,IT,22,Onsite,33,10,3,High,1,Daily,Poor
EMP0030,59,Healthcare,34,Remote,25,15,2,High,1,Weekly,Poor
EMP0031,22,IT,22,Onsite,20,11,1,Low,2,Weekly,Average
EMP0032,37,Manufacturing,4,Hybrid,33,14,2,Medium,5,None,Average
EMP0033,45,Manufacturing,29,Remote,20,14,2,Medium,5,Daily,Good
EMP0034,48,Healthcare,27,Remote,26,9,3,Medium,4,Daily,Average
EMP0035,36,IT,24,Hybrid,22,6,4,Medium,3,Weekly,Average
EMP0036,46,Healthcare,28,Hybrid,57,8,4,Low,5,None,Poor
EMP0037,48,Finance,10,Onsite,30,12,1,Low,3,None,Poor
EMP0038,31,Healthcare,18,Remote,47,14,2,Low,5,Daily,Good
EMP0039,24,IT,21,Onsite,48,12,4,Low,1,Weekly,Average
EMP0040,49,Consulting,20,Hybrid,20,1,3,High,5,Weekly,Poor
EMP0041,30,IT,22,Remote,44,15,4,High,5,Daily,Poor
EMP0042,53,IT,14,Onsite,29,13,2,Low,5,None,Good
EMP0043,54,Finance,26,Remote,58,6,3,High,3,Weekly,Poor
EMP0044,54,Manufacturing,12,Remote,53,12,4,Medium,3,None,Average
EMP0045,57,Retail,13,Remote,23,6,3,High,2,Daily,Good
EMP0046,32,Retail,24,Remote,42,8,2,Medium,3,Daily,Poor
EMP0047,33,Education,33,Remote,35,15,1,Medium,5,Weekly,Good
EMP0048,30,Consulting,4,Remote,39,2,5,High,4,None,Good
EMP0049,22,Healthcare,7,Onsite,29,9,4,Low,3,Daily,Poor
EMP0050,35,Retail,11,Onsite,37,3,4,Medium,3,None,Average
EMP0051,26,Manufacturing,34,Onsite,28,10,4,High,4,Daily,Good
EMP0052,47,Consulting,25,Remote,31,9,5,Low,1,None,Good
EMP0053,42,Retail,3,Onsite,26,14,3,Medium,2,Daily,Good
EMP0054,60,Healthcare,34,Onsite,46,15,2,Medium,1,None,Average
EMP0055,26,Education,5,Hybrid,55,6,1,Medium,1,Daily,Poor
EMP0056,30,Education,8,Hybrid,47,12,3,Low,5,Daily,Good
EMP0057,42,IT,14,Remote,48,13,5,Low,5,None,Good
EMP0058,53,IT,7,Onsite,49,6,5,Low,3,None,Average
EMP0059,26,Manufacturing,31,Remote,51,4,1,Low,3,Daily,Average
EMP0060,26,IT,17,Remote,57,13,2,Medium,5,Daily,Poor
EMP0061,25,Consulting,4,Hybrid,33,14,4,Medium,2,Daily,Good
EMP0062,33,IT,14,Remote,30,15,2,Medium,5,Daily,Good
EMP0063,25,Finance,20,Hybrid,28,4,3,Medium,2,None,Poor
EMP0064,22,Healthcare,5,Onsite,31,15,3,Medium,5,None,Good
EMP0065,60,Healthcare,18,Hybrid,37,0,4,Medium,2,None,Good
EMP0066,56,Finance,9,Remote,31,3,4,Medium,4,Weekly,Poor
EMP0067,45,IT,6,Hybrid,46,3,1,Medium,2,Daily,Good
EMP0068,60,Education,32,Remote,20,6,2,High,4,Weekly,Poor
EMP0069,32,Manufacturing,23,Onsite,51,8,2,High,1,Daily,Average
