Cd,Mo,Mn,Ni,Cu,Al,Ba,Cr,Sr,Pb,B,Mg,Si,Na,Ca,P,K,Aroma
0.005,0.044,1.51,0.122,0.83,0.982,0.387,0.029,1.23,0.561,2.63,128,17.3,66.8,80.5,150,1130,3.3
0.05,0.106,1.25,0.114,0.055,1.27,0.275,0.019,1.05,0.491,6.56,172,18.7,15.7,112,137,1290,4.6
0.056,0.146,1.1,0.088,0.643,1.29,0.308,0.035,1.14,0.73,3.05,127,15.8,35.4,91,161,1160,3.9
0.077,0.261,1.65,0.073,0.285,0.596,0.078,0.063,0.156,1.02,5.04,94.6,6.34,10.4,54.9,132,899,7.1
0.011,0.363,1.38,0.16,0.051,1.32,0.38,0.059,1.13,1.73,3.07,138,16.7,76.6,84.6,164,1090,5.6
0.034,0.05,1.15,0.058,0.058,1.35,0.294,0.006,1.12,0.206,2.71,120,14.7,68.1,64.8,133,1050,4.6
0.025,0.479,1.07,0.168,0.753,0.715,0.164,0.062,0.823,2.06,4.57,179,17.8,98.5,122,184,1170,4.8
0.067,0.166,1.53,0.041,0.043,0.512,0.132,0.026,0.229,0.699,7.27,107,6,55.2,44.9,148,854,7.7
0.061,0.245,1.61,0.07,0.172,2.07,0.071,0.053,0.186,1.19,4.42,87.6,7.62,11.6,70.6,156,820,5.5
0.033,0.074,1.28,0.098,0.053,1.35,0.329,0.03,1.07,0.552,3.3,140,16.3,70.5,74.7,159,1100,4.3
0.039,0.071,1.19,0.043,0.163,0.971,0.105,0.028,0.491,0.31,6.56,103,9.47,45.3,67.9,133,1090,5.1
0.045,0.147,2.76,0.071,0.074,0.483,0.301,0.087,2.14,0.546,3.5,199,9.18,80.4,66.3,212,1470,3.3
0.06,0.116,1.15,0.055,0.18,0.912,0.166,0.041,0.578,0.518,6.43,111,11.1,59.7,83.8,139,1120,5.9
0.106,0.307,1.15,0.063,0.051,0.643,0.29,0.031,0.885,1.61,4.4,151,17.4,7.25,103,177,1100,4.3
0.009,0.058,1.84,0.042,0.17,1.8,0.225,0.022,1.13,0.048,6.13,113,13,54.4,70.2,158,1240,4.3
0.042,0.126,1.7,0.112,0.21,0.508,0.299,0.054,0.995,0.686,6.94,129,43.6,45,85.9,165,1330,4.3
0.025,0.009,1.57,0.041,0.081,0.655,0.072,0.021,0.172,0.232,3.79,75.9,6.4,11.6,48.1,132,995,6.3
0.047,0.161,1.47,0.154,0.082,0.546,0.181,0.06,0.898,0.747,8.11,160,19.3,12.5,82.1,218,1220,4.7
0.024,0.234,0.906,0.466,0.102,0.811,0.271,0.044,0.963,1.09,3.18,145,14.3,10.5,91.9,187,1020,5.3
0.043,0.268,2.32,0.066,0.314,0.627,0.099,0.045,0.36,1.28,5.68,98.4,9.11,19.5,64.3,176,945,6.4
0.061,0.245,1.61,0.07,0.172,2.07,0.071,0.053,0.186,1.19,4.42,87.6,7.62,11.6,70.6,156,820,5.5
0.065,0.211,1.65,0.102,0.055,0.308,0.206,0.028,0.72,1.02,6.12,99.3,27.1,20.5,95.2,194,1260,5.1
0.048,0.146,1.85,0.092,0.09,0.889,0.328,0.1,1.32,0.604,6.42,134,19.3,125,83.2,173,1810,4.1
0.049,0.155,1.73,0.051,0.158,0.653,0.081,0.037,0.164,0.767,4.91,86.5,6.46,11.5,53.9,172,1020,6
0.064,0.191,1.78,0.067,0.552,0.633,0.085,0.063,0.192,0.777,5.56,110,6.96,13.6,64.1,167,976,5.5
0.058,0.184,1.28,0.095,0.058,1.3,0.346,0.037,1.17,1.28,3.29,145,16.7,65.8,72.8,175,1140,3.9
0.087,0.208,1.76,0.061,0.099,0.683,0.087,0.042,0.168,1.33,5.04,92.9,6.96,12,56.3,157,949,6.8
0.065,0.129,1.56,0.166,0.151,0.373,0.281,0.034,0.889,0.638,7.28,139,22.2,13.3,84.2,164,1200,3.9
0.068,0.166,3.14,0.104,0.053,0.368,0.292,0.039,1.11,0.831,4.71,125,17.6,13.9,59.5,141,1030,4.5
0.067,0.199,1.65,0.119,0.163,0.447,0.292,0.058,0.927,1.02,6.97,131,38.3,42.9,85.9,164,1390,5.2
0.084,0.171,1.85,0.088,0.038,1.21,0.263,0.072,1.35,0.899,2.38,130,6.18,101,64.4,98.6,1070,3.5
0.069,0.183,1.94,0.07,0.095,0.465,0.225,0.037,1.19,0.915,2,123,4.57,7.51,69.4,123,943,3.3
0.02,0.027,1.74,0.046,0.153,1.15,0.094,0.021,0.358,0.025,4.24,80.9,7.92,38.9,57.6,136,876,5
0.065,0.211,1.65,0.102,0.055,0.308,0.206,0.028,0.72,1.02,6.12,99.3,27.1,20.5,95.2,194,1260,5.1
0.084,0.266,1.28,0.087,0.071,1.14,0.158,0.049,0.794,1.3,3.77,143,19.7,39.1,128,146,1230,4.2
0.06,0.243,1.61,0.07,0.171,2,0.07,0.053,0.184,1.19,4.4,87.4,7.62,11.5,70.4,155,810,5.4
0.055,0.16,1.16,0.149,0.066,1.02,0.312,0.038,0.975,0.697,6.21,193,19.7,53.3,75,118,1010,4.4
0.039,0.071,1.19,0.043,0.163,0.971,0.105,0.028,0.491,0.31,6.56,103,9.47,45.3,67.9,133,1090,5.1
0.063,0.191,0.959,0.38,0.133,1.05,0.165,0.036,0.927,0.796,2.57,112,13.4,27.5,93.6,120,924,3.9
0.074,0.142,2.44,0.051,0.052,0.737,0.408,0.022,1.16,0.745,3.94,143,6.75,36.8,67.6,81.9,1170,5
0.102,0.342,4.08,0.065,0.077,0.752,0.366,0.048,1.08,1.77,3.37,145,5.33,33.1,58.3,117,1010,5.2
